postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2069,Macquarie Park,5,81329.7709575882,1.08003577088108
2070,Macquarie Park,5,3862566.43385609,51.7639525925317
2071,Macquarie Park,5,4419750.22712556,56.5046089206463
2072,Macquarie Park,5,3776810.3568372,99.1464651554415
2073,Macquarie Park,5,10230488.7445312,99.9999937815339
2074,Macquarie Park,5,9031913.05834843,41.0249807523712
2075,Macquarie Park,5,772073.057815451,4.35173602201595
2076,Macquarie Park,5,5529275.20384094,34.8888223725031
2087,Cammeray,5,44972.7302557131,0.503575193384547
2088,Cook and Phillip,5,2293144.20704175,26.507340560717
2088,Bradfield Highway,5,8243057.24697629,95.2846859940671
2088,Cammeray,5,8650978.02546103,100
2089,Cook and Phillip,5,1505597.12715852,99.6956596858934
2089,Bradfield Highway,5,1510193.25405152,100
2089,Cammeray,5,1510193.25405152,100
2090,Cook and Phillip,5,917317.408980143,44.5666598096196
2090,Bradfield Highway,5,2058304.15135159,100
2090,Cammeray,5,2058304.15135159,100
2092,Bradfield Highway,5,18681.1442836145,0.601120833725839
2092,Cammeray,5,2239203.30939392,72.0529609851127
2093,Cammeray,5,1912141.21563133,25.3971335220204
2109,Macquarie Park,5,1754907.59377115,100
2110,Cook and Phillip,5,190201.977528186,4.3920842041726
2110,Rozelle,5,3517170.6636211,81.2173980303665
2110,Bradfield Highway,5,1282823.14526289,29.6225483366555
2110,Cammeray,5,745743.092011312,17.2204647783346
2111,Rozelle,5,1928838.72378522,41.0061267847968
2112,Macquarie Park,5,3590889.73109483,38.5560766511618
2113,Macquarie Park,5,10621280.4087317,92.6749995466257
2114,Macquarie Park,5,1601057.40093514,21.7429419598061
2115,Parramatta North ,5,20338.6524549443,0.51687090382557
2116,Parramatta North ,5,3155198.77209749,83.035196485187
2117,Parramatta North ,5,5479721.78117815,76.9108927098848
2118,Parramatta North ,5,3276150.39514631,38.5117557323078
2118,Macquarie Park,5,13037.5774826542,0.153259142222802
2119,Macquarie Park,5,2892724.14631882,42.9165119197003
2120,Macquarie Park,5,3589927.31460699,25.9877967782923
2121,Macquarie Park,5,8050219.39751604,87.4953462024331
2122,Macquarie Park,5,7932581.08116467,87.5819485948822
2123,Parramatta North ,5,21798.065272009,100
2125,Parramatta North ,5,364676.180078953,3.92480789144926
2127,Lidcombe,5,3681059.08197355,45.2834735594215
2128,Lidcombe,5,789869.699861523,29.2533824987449
2128,Parramatta North ,5,3179.75997694582,0.117764657735452
2129,Lidcombe,5,466283.926462591,100
2130,Earlwood,5,1203215.71367204,100
2130,Rozelle,5,1177016.87868574,97.8225986671719
2131,Earlwood,5,3413763.76678432,100
